"n","rep","method","auprc_ratio","epr","dir_acc","f1","precision","recall","fisher_or","fisher_p","TP","FP","FN","TN","n_predicted","n_directed","n_true_pairs","prevalence","wall_clock_s","n_pruned","n_pairs_total","prune_pct"
1024,1,"ASCEND-PC",1.46048507788507,1.12960760998811,0.583333333333333,0.342857142857143,1,0.206896551724138,Inf,2.75142671242905e-07,12,0,46,132,12,11,58,0.305263157894737,8.86100000003353,135,190,71.0526315789474
1024,1,"Plain PC (X)",1.23356610108722,1.12960760998811,0.133333333333333,0.36144578313253,0.6,0.258620689655172,4.21740448197569,0.00102004388330067,15,10,43,122,25,23,58,0.305263157894737,1.42999999999302,NA,NA,NA
1024,1,"Plain PC (Z+X)",1.51285089337659,1.18608799048751,0,0.410958904109589,1,0.258620689655172,Inf,4.5193402008571e-09,15,0,43,132,15,15,58,0.305263157894737,1.94099999999162,NA,NA,NA
1024,2,"ASCEND-PC",1.38707776040834,1.444,0.7,0.333333333333333,1,0.2,Inf,7.73590976266814e-07,10,0,40,140,10,9,50,0.263157894736842,5.58499999996275,149,190,78.4210526315789
1024,2,"Plain PC (X)",1.36571037181206,1.596,0.222222222222222,0.272727272727273,0.5625,0.18,4.1326169031412,0.0078317781839161,9,7,41,133,16,11,50,0.263157894736842,0.949000000022352,NA,NA,NA
1024,2,"Plain PC (Z+X)",1.37995391892088,1.368,0.0833333333333333,0.380952380952381,0.923076923076923,0.24,42.9079288146347,3.90963455751859e-07,12,1,38,139,13,13,50,0.263157894736842,0.908000000054017,NA,NA,NA
1024,3,"ASCEND-PC",1.80490699392344,1.425,0.75,0.484848484848485,0.615384615384615,0.4,21.168899607005,3.29549710849587e-06,8,5,12,165,13,12,20,0.105263157894737,3.88099999999395,163,190,85.7894736842105
1024,3,"Plain PC (X)",1.58515806680402,2.375,0.428571428571429,0.274509803921569,0.225806451612903,0.35,3.24854749036665,0.0256995421475419,7,24,13,146,31,28,20,0.105263157894737,6.32299999997485,NA,NA,NA
1024,3,"Plain PC (Z+X)",3.0904202243152,2.375,0,0.5,0.875,0.35,85.6380081635405,3.6672996029136e-07,7,1,13,169,8,7,20,0.105263157894737,0.877000000036787,NA,NA,NA
1024,4,"ASCEND-PC",2.49889043676702,1.86122448979592,0.75,0.489795918367347,0.857142857142857,0.342857142857143,38.6029879540766,1.81618289202154e-08,12,2,23,153,14,13,35,0.184210526315789,5.63300000003073,159,190,83.6842105263158
1024,4,"Plain PC (X)",1.12403763477846,0.930612244897959,0.5,0.363636363636364,0.387096774193548,0.342857142857143,3.70121901706686,0.00293424611107933,12,19,23,136,31,29,35,0.184210526315789,1.30999999999767,NA,NA,NA
1024,4,"Plain PC (Z+X)",1.41307754257176,1.39591836734694,0.142857142857143,0.333333333333333,1,0.2,Inf,4.24008408817796e-06,7,0,28,155,7,7,35,0.184210526315789,1.51000000000931,NA,NA,NA
1024,5,"ASCEND-PC",1.96067555859293,1.2490869247626,0.5,0.425531914893617,1,0.27027027027027,Inf,2.62322578800834e-08,10,0,27,153,10,8,37,0.194736842105263,6.48999999999069,157,190,82.6315789473684
1024,5,"Plain PC (X)",1.25816378071614,0.971512052593134,0.25,0.363636363636364,0.413793103448276,0.324324324324324,3.80490268104642,0.00256427978983628,12,17,25,136,29,27,37,0.194736842105263,0.854000000050291,NA,NA,NA
1024,5,"Plain PC (Z+X)",1.96067555859293,1.2490869247626,0.0909090909090909,0.458333333333333,1,0.297297297297297,Inf,3.93483868201252e-09,11,0,26,153,11,10,37,0.194736842105263,1.41099999996368,NA,NA,NA
1024,6,"ASCEND-PC",1.45696590269838,1.04683195592286,0.625,0.380952380952381,0.888888888888889,0.242424242424242,48.3467117157111,3.02384175612063e-06,8,1,25,156,9,8,33,0.173684210526316,7.20899999997346,141,190,74.2105263157895
1024,6,"Plain PC (X)",2.19262348007991,1.91919191919192,0.142857142857143,0.491228070175439,0.583333333333333,0.424242424242424,10.6113174079865,9.65377489015856e-07,14,10,19,147,24,19,33,0.173684210526316,0.555999999982305,NA,NA,NA
1024,6,"Plain PC (Z+X)",2.63512998270428,1.74471992653811,0,0.521739130434783,0.923076923076923,0.363636363636364,85.6205103089737,1.26813791911171e-09,12,1,21,156,13,12,33,0.173684210526316,1.90400000003865,NA,NA,NA
1024,7,"ASCEND-PC",1.78317120020737,1.05263157894737,1,0.347826086956522,1,0.210526315789474,Inf,1.34800638281022e-06,8,0,30,152,8,8,38,0.2,7.67199999996228,96,190,50.5263157894737
1024,7,"Plain PC (X)",2.05634172365741,1.57894736842105,0.214285714285714,0.466666666666667,0.636363636363636,0.368421052631579,10.2987624380582,1.81928146968528e-06,14,8,24,144,22,18,38,0.2,0.402999999991152,NA,NA,NA
1024,7,"Plain PC (Z+X)",2.39780426800408,1.44736842105263,0,0.538461538461538,1,0.368421052631579,Inf,1.72336625861651e-11,14,0,24,152,14,12,38,0.2,1.23199999995995,NA,NA,NA
1024,8,"ASCEND-PC",1.60523370857351,1.78125,0.7,0.384615384615385,0.833333333333333,0.25,24.0585112625038,3.03126540576379e-06,10,2,30,148,12,12,40,0.210526315789474,6.10999999998603,141,190,74.2105263157895
1024,8,"Plain PC (X)",1.43349571914068,1.54375,0.2,0.476190476190476,0.652173913043478,0.375,10.4492662281454,9.28777400290316e-07,15,8,25,142,23,17,40,0.210526315789474,1.05299999995623,NA,NA,NA
1024,8,"Plain PC (Z+X)",2.16188037382664,1.6625,0,0.518518518518518,1,0.35,Inf,4.13607902067961e-11,14,0,26,150,14,14,40,0.210526315789474,3.32900000002701,NA,NA,NA
1024,9,"ASCEND-PC",3.22809480028654,2.62975778546713,0.625,0.615384615384615,0.888888888888889,0.470588235294118,140.234910079041,5.76577121607638e-09,8,1,9,172,9,7,17,0.0894736842105263,3.4539999999688,173,190,91.0526315789474
1024,9,"Plain PC (X)",1.52824680371021,2.62975778546713,0.25,0.32,0.242424242424242,0.470588235294118,5.19568552764501,0.00283823831193802,8,25,9,148,33,32,17,0.0894736842105263,2.45199999999022,NA,NA,NA
1024,9,"Plain PC (Z+X)",3.22809480028654,3.28719723183391,0,0.64,1,0.470588235294118,Inf,6.70096016172352e-10,8,0,9,173,8,8,17,0.0894736842105263,1.20199999999022,NA,NA,NA
1024,10,"ASCEND-PC",1.07686910298886,1.05316200554296,0.5,0.173913043478261,1,0.0952380952380952,Inf,0.0011261436595736,6,0,57,127,6,6,63,0.331578947368421,9.03800000000047,121,190,63.6842105263158
1024,10,"Plain PC (X)",1.25770062303141,1.19677500629882,0.0952380952380952,0.466666666666667,0.777777777777778,0.333333333333333,9.94072883446022,3.54443535502821e-07,21,6,42,121,27,25,63,0.331578947368421,0.449000000022352,NA,NA,NA
1024,10,"Plain PC (Z+X)",1.29721990179124,1.14890400604686,0,0.425,1,0.26984126984127,Inf,1.37445350107517e-09,17,0,46,127,17,17,63,0.331578947368421,1.76800000004005,NA,NA,NA
4096,1,"ASCEND-PC",1.24893993508678,1.08571428571429,0.307692307692308,0.292134831460674,0.684210526315789,0.185714285714286,4.29743243243988,0.00338242369496634,13,6,57,114,19,18,70,0.368421052631579,26.6959999999963,98,190,51.5789473684211
4096,1,"Plain PC (X)",1.16174656296703,1.00816326530612,0.388888888888889,0.349514563106796,0.545454545454545,0.257142857142857,2.41102959137507,0.0180671960876812,18,15,52,105,33,31,70,0.368421052631579,7.75299999996787,NA,NA,NA
4096,1,"Plain PC (Z+X)",1.24015452031766,1.08571428571429,0.230769230769231,0.313253012048193,1,0.185714285714286,Inf,1.06954113984806e-06,13,0,57,120,13,13,70,0.368421052631579,4.67800000001444,NA,NA,NA
4096,2,"ASCEND-PC",1.11282537513661,1.36455041654697,0.75,0.324324324324324,0.8,0.203389830508475,10.7370191673633,6.77674118026211e-05,12,3,47,128,15,15,59,0.310526315789474,25.6289999999572,133,190,70
4096,2,"Plain PC (X)",1.03379703427822,1.20080436656133,0,0.25,0.379310344827586,0.186440677966102,1.43580727046826,0.253964094344173,11,18,48,113,29,29,59,0.310526315789474,11.8649999999907,NA,NA,NA
4096,2,"Plain PC (Z+X)",1.21551841203831,1.47371444987073,0,0.260869565217391,0.9,0.152542372881356,23.0146307995695,0.000128697237777518,9,1,50,130,10,10,59,0.310526315789474,3.3179999999702,NA,NA,NA
4096,3,"ASCEND-PC",2.14870491948398,1.82441700960219,0.6,0.526315789473684,0.909090909090909,0.37037037037037,90.857697156686,6.38854467907046e-09,10,1,17,162,11,9,27,0.142105263157895,18.6130000000121,129,190,67.8947368421053
4096,3,"Plain PC (X)",1.71647969242076,1.82441700960219,0,0.321428571428571,0.310344827586207,0.333333333333333,3.54324367780985,0.00910020321392793,9,20,18,143,29,28,27,0.142105263157895,6.34399999998277,NA,NA,NA
4096,3,"Plain PC (Z+X)",2.48170151213636,1.82441700960219,0,0.486486486486486,0.9,0.333333333333333,77.4871749103775,5.81675228238016e-08,9,1,18,162,10,10,27,0.142105263157895,7.79699999996228,NA,NA,NA
4096,4,"ASCEND-PC",1.54442899217575,2.34567901234568,0.727272727272727,0.448979591836735,0.846153846153846,0.305555555555556,32.4387499757468,1.63885032788543e-07,11,2,25,152,13,12,36,0.189473684210526,24.0290000000386,131,190,68.9473684210526
4096,4,"Plain PC (X)",1.61581911919416,2.19907407407407,0,0.379310344827586,0.5,0.305555555555556,5.64545424993871,0.000418173130163114,11,11,25,143,22,22,36,0.189473684210526,5.93700000003446,NA,NA,NA
4096,4,"Plain PC (Z+X)",2.28798652119984,2.63888888888889,0,0.425531914893617,0.909090909090909,0.277777777777778,56.9832538384744,1.82916825217879e-07,10,1,26,153,11,11,36,0.189473684210526,3.0109999999986,NA,NA,NA
4096,5,"ASCEND-PC",1.29977591633585,0.750617283950617,0.5,0.4,0.8,0.266666666666667,16.8504154527757,2.2934748458825e-06,12,3,33,142,15,15,45,0.236842105263158,30.0069999999832,103,190,54.2105263157895
4096,5,"Plain PC (X)",1.37598878620162,1.0320987654321,0.0833333333333333,0.328767123287671,0.428571428571429,0.266666666666667,2.91190866055944,0.0121957272891551,12,16,33,129,28,27,45,0.236842105263158,9.67999999999302,NA,NA,NA
4096,5,"Plain PC (Z+X)",1.47227537873391,0.844444444444445,0,0.357142857142857,0.909090909090909,0.222222222222222,40.1620756417016,2.17558423404764e-06,10,1,35,144,11,11,45,0.236842105263158,4.51000000000931,NA,NA,NA
4096,6,"ASCEND-PC",1.64637729941026,1.11815301041195,0.3125,0.492307692307692,0.888888888888889,0.340425531914894,35.4965207563048,2.21064199546614e-09,16,2,31,141,18,16,47,0.247368421052632,22.3969999999972,128,190,67.3684210526316
4096,6,"Plain PC (X)",1.72823488934171,1.54821186057039,0.166666666666667,0.423529411764706,0.473684210526316,0.382978723404255,3.78458833168493,0.00055305714061427,18,20,29,123,38,36,47,0.247368421052632,16.3119999999763,NA,NA,NA
4096,6,"Plain PC (Z+X)",1.69357481207507,1.20416478044364,0.0769230769230769,0.433333333333333,1,0.276595744680851,Inf,3.1698520997258e-09,13,0,34,143,13,13,47,0.247368421052632,1.92399999999907,NA,NA,NA
4096,7,"ASCEND-PC",3.28945261823059,4.11989795918367,0.928571428571429,0.666666666666667,1,0.5,Inf,7.14982243601235e-14,14,0,14,162,14,14,28,0.147368421052632,12.710999999952,156,190,82.1052631578947
4096,7,"Plain PC (X)",1.46550515067672,2.4234693877551,0.416666666666667,0.380952380952381,0.342857142857143,0.428571428571429,4.48407893955161,0.000954914649885696,12,23,16,139,35,34,28,0.147368421052632,6.38699999998789,NA,NA,NA
4096,7,"Plain PC (Z+X)",2.38458221141543,2.90816326530612,0.2,0.526315789473684,1,0.357142857142857,Inf,9.88283154773329e-10,10,0,18,162,10,9,28,0.147368421052632,3.42199999996228,NA,NA,NA
4096,8,"ASCEND-PC",1.59704670499748,1.3740959894806,0.666666666666667,0.461538461538462,0.923076923076923,0.307692307692308,64.5831571563119,1.3489362161611e-08,12,1,27,150,13,12,39,0.205263157894737,14.0059999999939,138,190,72.6315789473684
4096,8,"Plain PC (X)",1.32623117113113,1.3740959894806,0.0769230769230769,0.361111111111111,0.393939393939394,0.333333333333333,3.24979650966936,0.00488130920100095,13,20,26,131,33,31,39,0.205263157894737,5.05800000001909,NA,NA,NA
4096,8,"Plain PC (Z+X)",2.43782643663142,1.74884944115713,0.111111111111111,0.631578947368421,1,0.461538461538462,Inf,8.80355097798348e-15,18,0,21,151,18,18,39,0.205263157894737,3.01000000000931,NA,NA,NA
4096,9,"ASCEND-PC",1.68764326736062,1.54375,0.444444444444444,0.352941176470588,0.818181818181818,0.225,20.98042805834,1.4658629889301e-05,9,2,31,148,11,10,40,0.210526315789474,22.4459999999963,130,190,68.4210526315789
4096,9,"Plain PC (X)",1.20668413858362,1.6625,0.1,0.307692307692308,0.4,0.25,2.97884307932917,0.0166656862932442,10,15,30,135,25,24,40,0.210526315789474,10.2570000000414,NA,NA,NA
4096,9,"Plain PC (Z+X)",1.58865972103189,1.54375,0,0.4,1,0.25,Inf,6.38361349397106e-08,10,0,30,150,10,10,40,0.210526315789474,3.92999999999302,NA,NA,NA
4096,10,"ASCEND-PC",1.91333550449376,1.24081632653061,0.833333333333333,0.51063829787234,1,0.342857142857143,Inf,2.57450817183366e-10,12,0,23,155,12,11,35,0.184210526315789,12.0360000000219,155,190,81.5789473684211
4096,10,"Plain PC (X)",1.22805490829191,0.930612244897959,0.4,0.363636363636364,0.5,0.285714285714286,5.72272693509889,0.000646122076741699,10,10,25,145,20,18,35,0.184210526315789,1.48600000003353,NA,NA,NA
4096,10,"Plain PC (Z+X)",2.21467151960218,1.55102040816327,0,0.541666666666667,1,0.371428571428571,Inf,3.32661168270641e-11,13,0,22,155,13,13,35,0.184210526315789,2.65999999997439,NA,NA,NA
16384,1,"ASCEND-PC",1.87077688035549,1.484375,0.9,0.444444444444444,0.769230769230769,0.3125,22.79565920739,9.74408171227945e-07,10,3,22,155,13,12,32,0.168421052631579,60.5989999999874,147,190,77.3684210526316
16384,1,"Plain PC (X)",1.72410640547632,2.041015625,0.230769230769231,0.393939393939394,0.382352941176471,0.40625,4.41689066410945,0.000714789396030458,13,21,19,137,34,33,32,0.168421052631579,21.7489999999525,NA,NA,NA
16384,1,"Plain PC (Z+X)",2.43824295603107,1.669921875,0.0909090909090909,0.511627906976744,1,0.34375,Inf,5.9379552624309e-10,11,0,21,158,11,10,32,0.168421052631579,5.47200000000885,NA,NA,NA
16384,2,"ASCEND-PC",1.70754410206061,0.821799307958478,0.928571428571429,0.549019607843137,0.823529411764706,0.411764705882353,34.4930861253959,1.20308048891304e-09,14,3,20,153,17,14,34,0.178947368421053,62.8399999999674,149,190,78.4210526315789
16384,2,"Plain PC (X)",0.954630086197082,0.493079584775087,0.5,0.17910447761194,0.181818181818182,0.176470588235294,1.02368316059296,0.566374234935344,6,27,28,129,33,31,34,0.178947368421053,22.6139999999432,NA,NA,NA
16384,2,"Plain PC (Z+X)",2.24850725492512,1.31487889273356,0,0.425531914893617,0.769230769230769,0.294117647058824,20.6761097516426,1.91362903141814e-06,10,3,24,153,13,12,34,0.178947368421053,4.63699999998789,NA,NA,NA
16384,3,"ASCEND-PC",2.70943978985798,2.76795005202914,0.785714285714286,0.549019607843137,0.7,0.451612903225806,20.3544112822307,1.03164674235127e-08,14,6,17,153,20,20,31,0.163157894736842,67.7960000000312,132,190,69.4736842105263
16384,3,"Plain PC (X)",1.46115060635287,1.77939646201873,0.0909090909090909,0.328358208955224,0.305555555555556,0.354838709677419,2.92737583330627,0.013503324624915,11,25,20,134,36,33,31,0.163157894736842,19.2640000000247,NA,NA,NA
16384,3,"Plain PC (Z+X)",2.27775479493099,2.17481789802289,0,0.565217391304348,0.866666666666667,0.419354838709677,54.3266449313863,3.99977104585846e-10,13,2,18,157,15,12,31,0.163157894736842,6.23499999998603,NA,NA,NA
16384,4,"ASCEND-PC",2.39653804259071,1.56378600823045,0.416666666666667,0.571428571428571,0.8,0.444444444444444,40.8233479311888,1.9117235853401e-09,12,3,15,160,15,12,27,0.142105263157895,56.0659999999916,154,190,81.0526315789474
16384,4,"Plain PC (X)",1.24778370110673,1.30315500685871,0.25,0.290909090909091,0.285714285714286,0.296296296296296,2.98804249735794,0.0253236610511619,8,20,19,143,28,26,27,0.142105263157895,4.07300000003306,NA,NA,NA
16384,4,"Plain PC (Z+X)",1.38748178549649,0.521262002743484,0,0.564102564102564,0.916666666666667,0.407407407407407,105.819787133222,6.61037599373921e-10,11,1,16,162,12,11,27,0.142105263157895,8.10100000002421,NA,NA,NA
