REB1;ACT1
REB1;BUD27
REB1;FRS2
REB1;HSP12
REB1;RET2
REB1;YIP4
REB1;RPS26A
REB1;ERG4
REB1;ENP2
REB1;YIP1
REB1;TYS1
REB1;SKI6
REB1;ZPR1
REB1;MPC3
REB1;PXR1
REB1;ZUO1
REB1;RPL8A
REB1;GOS1
REB1;NPR3
REB1;THR1
REB1;VMA16
REB1;CHS7
REB1;RPS4B
REB1;QDR2
REB1;HIS5
REB1;RPL2B
REB1;LYS1
REB1;RPS14B
REB1;GON7
REB1;HSP150
REB1;CIS3
REB1;PRM10
REB1;PRE3
REB1;ANB1
REB1;ARP3
REB1;LOT5
REB1;LTV1
REB1;SRX1
REB1;TEF4
REB1;SFK1
REB1;YKR011C
REB1;UTH1
REB1;NAP1
REB1;RIX7
REB1;SSA2
REB1;COX17
REB1;YLR162W
REB1;YLR171W
REB1;DPH5
REB1;ILV5
REB1;RSC2
REB1;SEC61
REB1;CSR1
REB1;MSC1
REB1;YAP1
REB1;BUD22
REB1;RPL13B
REB1;HSC82
REB1;ERG12
REB1;LCB1
REB1;PEX6
REB1;RPS19B
REB1;RPL18B
REB1;JJJ1
REB1;RPL9B
REB1;SIS1
REB1;YNR061C
REB1;SPE2
REB1;RPL3
REB1;BUD21
REB1;GCY1
REB1;RPB2
REB1;HES1
REB1;SRL1
REB1;CAF20
REB1;RRP36
REB1;SAR1
REB1;RPL7B
REB1;CAR1
REB1;ERG10
REB1;TKL1
REB1;MAK16
REB1;EFB1
REB1;HEK2
REB1;FMT1
REB1;HHT1
REB1;RPS11B
REB1;RPL19A
REB1;NUP192
REB1;YBR219C
TEC1;PHO5
TEC1;PBY1
TEC1;TKL2
TEC1;HSL7
TEC1;TBS1
TEC1;TOS1
TEC1;YBR209W
TEC1;PAU24
TEC1;FUS1
TEC1;CWH43
TEC1;TVS1
TEC1;FIG2
TEC1;ADH7
TEC1;AAD3
TEC1;PRR2
TEC1;MRX19
TEC1;PCL2
TEC1;KNH1
TEC1;STP4
TEC1;LYS14
TEC1;ENA1
TEC1;RSM10
TEC1;NRG1
TEC1;SED1
TEC1;MRX16
TEC1;STB3
TEC1;HSP42
TEC1;SCC2
TEC1;SND1
TEC1;YDR210W
TEC1;GCD6
TEC1;YDR249C
TEC1;PAM1
TEC1;EXG2
TEC1;YDR274C
TEC1;GIC2
TEC1;HIM1
TEC1;HXT7
TEC1;HXT6
TEC1;ESF1
TEC1;RGA2
TEC1;ECM11
TEC1;ADA2
TEC1;YHP1
TEC1;MFA1
TEC1;GNP1
TEC1;SPS2
TEC1;HLR1
TEC1;NPR2
TEC1;UTR2
TEC1;URA3
TEC1;MIT1
TEC1;VHR2
TEC1;PTP3
TEC1;FLO8
TEC1;SHO1
TEC1;YER137C
TEC1;YER138W-A
TEC1;FTR1
TEC1;PEA2
TEC1;SPI1
TEC1;BEM2
TEC1;YER158C
TEC1;TOG1
TEC1;PUG1
TEC1;YER189W
TEC1;EMP47
TEC1;RGD2
TEC1;HSP12
TEC1;HXK1
TEC1;HOS2
TEC1;IME4
TEC1;TOS3
TEC1;MPT5
TEC1;RAD54
TEC1;SUT1
TEC1;RCK1
TEC1;RRT6
TEC1;TIP20
TEC1;TOS8
TEC1;PYC1
TEC1;AGA2
TEC1;MSB2
TEC1;RPS25A
TEC1;MSP1
TEC1;GSC2
TEC1;YGR039W
TEC1;KSS1
TEC1;FMP48
TEC1;ERG25
TEC1;MEP1
TEC1;YGR122W
TEC1;RSR1
TEC1;YGR153W
TEC1;QCR9
TEC1;CRH1
TEC1;CRM1
TEC1;TOS2
TEC1;PET54
TEC1;BNS1
TEC1;PHO81
TEC1;YHB1
TEC1;MGA1
TEC1;PAU12
TEC1;YHL044W
TEC1;DUR3
TEC1;GPA1
TEC1;YHR033W
TEC1;STE12
TEC1;HXT4
TEC1;HXT5
TEC1;CHS7
TEC1;IMA3
TEC1;YIL141W
