"ensembl_gene_id","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035","S036","S037","S038","S039","S040","S041","S042","S043","S044","S045","S046","S047","S048","S049","S050"
"ENSRNOG00000000009",-1.17133715771486,-0.995054505137659,0.506544423814672,2.01719097114626,0.0648628204705555,-0.675713152314984,-0.435537450776823,0.451397035917746,0.860082849239563,0.199335471706905,0.786917677386331,-0.460382973880254,-1.04809909244522,1.20049972302986,-1.08186111952778,0.496296577896396,-0.380882485232141,-0.1632865316189,0.633268192380935,0.713614841572342,0.997660944129978,2.02356058182206,1.37136811997313,-0.286702845238202,-0.748595756453055,0.126540782879646,-0.274416209547709,0.974725362828717,1.6292550861542,0.0256287907721247,-0.957222179974248,-1.76216462158442,-0.511140300838195,0.747754746094863,-0.0731663130407814,-0.583830652868554,-0.729847358642112,0.585816121711353,0.170693727221062,0.999860439204099,0.623233438301037,-0.482004154146136,-2.25977537375495,0.0909106123249292,0.810044722106368,-0.247210725037667,-1.87553294401059,1.1050613413215,-2.09124999036076,-0.917111507260625
"ENSRNOG00000000012",1.26024321501139,-1.08568519293808,-0.031197843327573,0.158789170746981,0.553979399404999,1.25937632306758,0.274108157146909,0.0944738497937684,-0.846187831248059,-2.00677709036462,0.115312729344053,0.564058655296346,-0.608418435097938,-1.23536952827644,1.84021167591671,1.66128134902433,-0.0794722109709125,2.43039754085183,0.487491227863257,1.05582021399824,-0.976504330731108,0.660876649211723,-0.14881427552404,-0.449398089846593,-0.602508457733296,1.10526833272017,0.265585180012582,0.287545529108977,-0.887445079503476,-1.65476078655652,-2.28051494150376,-1.01420610328717,1.04903861874045,-0.622631412559196,0.00739100321566083,-0.594983517901547,-0.873047244203361,0.208237342644818,0.527966098368996,-0.58149194669617,-0.985179132596529,-0.460002930229676,1.10526833272017,1.08554868186356,0.310654665768706,0.628762565284941,-0.396460925776973,1.12220482511724,-0.32910173796145,-1.36973228740989
"ENSRNOG00000000024",0.0553013365237286,0.208749131547333,-0.360468689974982,-0.444917543191424,-0.207020180106466,-0.167146454702398,0.317621749352942,4.60571272349246,-0.707239718953096,-0.360468689974982,-0.276019865142244,-0.360468689974982,-0.55379107662728,-0.360468689974982,-0.251595225921525,-0.233130563536306,0.208749131547333,-0.131076293494185,-0.067854662661229,-0.564452370720048,-0.251595225921525,-0.0752034366286649,-0.315893617878734,0.113639532836596,-0.622790837352931,-0.400342457428946,-0.251595225921525,-0.122571437270987,-0.845239217276916,0.0223719296710157,NA,-0.148681803580534,-0.360468689974982,-0.429468425470657,-0.23994967583708,-0.053571838437359,-0.444917543191424,0.113639532836596,0.16417432751775,-0.207020180106466,0.113639532836596,-0.0752034366286649,0.0107264089736326,4.60571272349246,0.449437101491375,0.113639532836596,-0.0981468264339135,-0.0981468264339135,-0.131076293494185,-0.88511298473088
"ENSRNOG00000000036",NA,NA,NA,NA,NA,-0.751111507631581,1.06708901042962,NA,NA,NA,NA,NA,NA,NA,1.06708901042962,NA,NA,NA,NA,NA,NA,NA,-0.911820829907972,NA,NA,NA,1.06708901042962,NA,NA,NA,NA,NA,-0.718469251673899,NA,NA,-0.819865442075408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSRNOG00000000040",0.000472836908437161,-0.50877349587743,NA,3.86264060143651,NA,-0.50877349587743,0.149187348134015,NA,-0.380479133466091,-0.0701324585876139,-0.0701324585876139,-0.289452858578253,NA,-0.289452858578253,NA,-0.670405271928523,NA,-0.417747194621945,NA,0.000472836908437161,NA,0.0581615083101546,-0.380479133466091,NA,-0.0701324585876139,NA,0.000472836908437161,-0.50877349587743,NA,NA,-0.380479133466091,-0.347141719826338,-0.50877349587743,-0.112383421781078,-0.161158601637441,-0.402309361356263,-0.0701324585876139,3.86264060143651,-0.347141719826338,-0.380479133466091,-0.161158601637441,-0.347141719826338,NA,NA,-0.24067763352029,0.000472836908437161,NA,NA,-0.24067763352029,-0.0701324585876139
"ENSRNOG00000000042",-0.989347099259393,-1.32503121836772,-0.952006031788569,-0.808815866404239,-0.960248104020233,0.260069353589806,0.163193597415508,0.454474634167086,-0.683895953694153,-0.306751091093998,-1.91716315567793,-0.113417033384656,-0.0569124280110205,0.42218761987362,-0.0569124280110205,-0.98397273512678,-0.0430156106856228,0.42218761987362,1.08810331527225,2.22737670079876,3.34922967162331,0.42218761987362,-0.223546392574649,-0.208531980531251,-0.481146459457742,-0.979098596094725,-0.930956283800842,0.307651303743123,1.3881771365517,0.977974640545171,-0.879217469671922,0.0307344539232166,-1.27067239228632,0.107422952908542,-0.0086620686852046,0.133343379205477,0.42218761987362,0.372828056746627,0.548520848545808,1.27094021469739,2.05201255360563,0.0501649030581884,-1.38080212545924,-0.462353743339502,0.90907975475355,-0.637720939761152,1.13529284728403,-0.828696160119828,-1.01778536193675,-0.0086620686852046
"ENSRNOG00000000064",-1.54958171519013,0.275921022964534,2.21087936703194,0.000497993084230002,-0.621230291322513,1.77413775946254,-1.0316162725033,-0.925678157924253,1.26888832066732,-0.209531029507586,-0.475904249001461,0.0943463675429381,1.56614784216463,0.0386277672934757,-0.631479580064091,-1.69790832636965,-1.54227342726908,-1.20752445778431,1.09449128002469,0.581642878103324,-0.416382259560144,0.873127758957006,0.245159768355463,-0.738534228628501,-0.431789820736901,-0.288617107493128,2.25347201101165,-0.645705138028851,-2.15175388376465,-0.315563535588697,-0.401590800111082,-1.56651158628167,-0.0298816124971041,0.627707324999919,0.797860335394575,1.46599294325962,0.83552562464318,0.970227447286322,-0.33036514086608,0.549955358125654,-0.699673427608173,0.426013799386261,0.693433136415343,-0.7122232638638,-0.65724223974008,1.04457108115525,-0.141411361812803,0.0444056128525463,-0.00489673150855901,-0.308163155155804
"ENSRNOG00000000065",-0.812514840030185,-0.59727886093803,1.44203563483415,1.44203563483415,1.44203563483415,-0.673189594985338,-0.59727886093803,NA,-0.774176704090957,-0.693425778883528,-0.812514840030185,-0.574337039876761,-0.812514840030185,-0.623763275672301,-0.843839387700841,-0.655087720258039,NA,-0.716367682780596,-0.774176704090957,-0.574337039876761,1.44203563483415,-0.535999148763297,1.44203563483415,1.44203563483415,-0.655087720258039,NA,-0.554100939496023,1.44203563483415,NA,-0.59727886093803,1.44203563483415,-0.655087720258039,1.44203563483415,-0.716367682780596,NA,-0.504674873120817,-0.843839387700841,NA,1.44203563483415,1.44203563483415,-0.59727886093803,-0.742852179328119,-0.673189594985338,-0.812514840030185,-0.535999148763297,1.44203563483415,-0.655087720258039,1.44203563483415,-0.574337039876761,1.44203563483415
"ENSRNOG00000000073",1.59182269487224,-0.0488394919396988,1.55034706043539,-1.61814491528194,-0.854256807287931,-0.0645551135357201,-0.648371417778249,-1.58494312207357,-0.151242262765847,-0.988824279745053,-1.10940476047775,0.477257170633289,-1.20459696834501,0.237272581579105,0.262671601999977,-0.149425941080494,-1.16808966472161,-0.96170423653288,0.968880331759048,0.099339666909675,1.14600311943162,3.32182561884528,-0.598139995511314,-0.163533820411811,-0.378176109597604,0.778804003449231,1.52234602906936,0.381433247668321,-0.814571433164808,0.631165001628522,-0.167780294568171,0.169168297401937,-0.671974609770157,1.1327748933785,0.397238922872378,-0.827310882562768,0.270704302586845,-0.26110453809516,2.25107885756546,-0.712785499452617,-1.39738016622888,-0.19597220402947,-0.149425941080494,0.892790519933056,0.17777386900878,-0.624283181491295,0.554643314766939,0.389932739101009,-0.875864754200863,-0.814571433164808
"ENSRNOG00000000091",-1.20228255281507,-1.07359981029893,-0.164652908290062,0.333439754772783,0.743671451539955,-0.496210599785066,0.670813301694471,-0.117876643244988,0.0469124130480062,-0.0465136652238062,0.0182705550142793,0.971447991648288,-0.0417169791877385,0.000848257317909043,-1.80012320292374,-0.569944668806977,-0.980909242684426,-0.322574793013225,2.52951834252874,1.4987737291937,1.28777322708078,-0.250550207666052,-0.157236757652383,0.981251057219536,-0.778169933371783,-1.20501406756607,-1.10104933877921,1.21225022950995,0.441943955373357,0.431132144154642,-1.63575724786024,-1.18106427654666,-1.20501406756607,-1.02992862633193,-0.351119458769427,0.617057223710137,0.655629010005063,1.59646465078831,1.42534682259529,1.83614182275233,0.286488461507504,0.135418936007929,0.109352750558401,-0.716231949151029,1.55991526586326,0.0182705550142793,0.242768227671983,-1.82629104372944,-0.850803288910506,-0.546264806396049
