method,n,d_x,d_z,seed,status,time_sec,mem_mb,n_ci_tests,n_l0_calls,precision,recall_resolved,recall_overall,f1,accuracy,coverage,tp,fp,fn,tn,unresolved_frac,shd_full,shd_resolved,n_resolved,error_msg
cbl,1024,5,30,101,ok,38.1729999999989,217,122000,4000,,,0,,1,0.7,0,0,0,7,0.3,2,0,7,
cbl,1024,5,30,102,ok,30.5369999999984,78,122000,4000,,0,0,,0.571428571428571,0.7,0,0,3,4,0.3,4,3,7,
cbl,1024,5,30,103,ok,35.2199999999993,86,122000,4000,1,0.25,0.142857142857143,0.4,0.571428571428571,0.7,1,0,3,3,0.3,6,3,7,
cbl,1024,5,30,104,ok,33.9899999999998,78,122000,4000,,0,0,,0.571428571428571,0.7,0,0,3,4,0.3,5,3,7,
cbl,1024,5,30,105,ok,35.8400000000001,417,122000,4000,,0,0,,0.833333333333333,0.6,0,0,1,5,0.4,4,1,6,
ascend,1024,5,40,101,ok,0.270000000000437,0,10,,,0,0,,0.7,1,0,0,3,7,0,3,3,10,
ascend,1024,5,40,102,ok,0.266999999999825,82,10,,,0,0,,0.3,1,0,0,7,3,0,7,7,10,
ascend,1024,5,40,103,ok,0.773999999999433,37,166,,,0,0,,0.5,0.8,0,0,4,4,0.2,6,6,10,
ascend,1024,5,40,104,ok,0.281000000000859,67,10,,,0,0,,0.5,1,0,0,5,5,0,5,5,10,
ascend,1024,5,40,105,ok,0.268000000000029,52,10,,,0,0,,0.5,1,0,0,5,5,0,5,5,10,
cbl,1024,5,40,101,ok,47.1180000000004,228,162000,4000,,0,0,,0.857142857142857,0.7,0,0,1,6,0.3,3,1,7,
cbl,1024,5,40,102,ok,48.5600000000013,78,162000,4000,,0,0,,0.222222222222222,0.9,0,0,7,2,0.1,7,7,9,
cbl,1024,5,40,103,ok,46.5949999999994,78,162000,4000,,0,0,,0.375,0.8,0,0,5,3,0.2,6,5,8,
cbl,1024,5,40,104,ok,56.719000000001,70,162000,4000,,0,0,,0.5,1,0,0,5,5,0,5,5,10,
cbl,1024,5,40,105,ok,51.6570000000011,78,162000,4000,,0,0,,0.555555555555556,0.9,0,0,4,5,0.1,5,4,9,
ascend,1024,5,50,101,ok,0.261000000000422,0,10,,,0,0,,0.6,1,0,0,4,6,0,4,4,10,
ascend,1024,5,50,102,ok,0.283999999999651,67,10,,,0,0,,0.4,1,0,0,6,4,0,6,6,10,
ascend,1024,5,50,103,ok,0.269000000000233,58,10,,,0,0,,0.6,1,0,0,4,6,0,4,4,10,
ascend,1024,5,50,104,ok,0.279999999998836,70,10,,,0,0,,0.6,1,0,0,4,6,0,4,4,10,
